depArr,distance,distance_long,operation_mode,angle_sum,NDepDep,NDepArr,NArrDep,NArrArr,Pressure,VisibilityInMeters,isRain,isSnow,flightNumber,airline,aircraftModel,AvgSpdLast10,TaxiTime
0,1478.568965,1074.081608,1,543.76,1,0,0,0,30.12,10000,0,0,BA1399,BAW,A319,236.8748626,13.43333333
0,2025.19993,1074.081608,1,730.56,4,0,0,0,30.12,10000,0,0,D86409,NAX,B738,236.9599894,19.7
0,2875.761782,1417.437268,1,951.33,5,1,0,0,30.12,10000,0,0,ZB676,MON,A321,229.0691186,18.23333333
0,3155.548261,1417.437268,1,927.79,2,1,0,0,30.12,10000,0,0,ZB654,MON,A320,263.8989719,16.35
1,1738.657986,849.6170191,1,474.13,0,0,2,0,30.15,10000,0,0,FR3209,RYR,B738,235.74023,3.4
1,1971.769018,970.6294578,1,544.25,0,0,2,0,30.12,10000,0,0,FR4097,RYR,B738,273.2827792,3.45
0,2166.869121,1331.86689,1,544.39,1,0,0,0,30.12,10000,0,0,TK1996,THY,A321,342.2408531,11.06666667
0,1017.353229,634.051999,1,333.82,0,0,0,0,30.12,10000,0,0,U21951,EZY,A320,281.5886769,3.65
0,1959.627559,949.0490379,1,389.71,0,0,0,0,30.12,10000,0,0,FR3445,RYR,B738,302.4233969,9.35
0,2509.688653,1078.779413,1,542.35,1,0,0,0,30.12,10000,0,0,EW1345,EWG,A320,307.6269866,13.46666667
1,651.8748321,0,1,363.79,0,0,3,0,30.12,10000,0,0,FR4095,RYR,B738,241.586855,5.483333333
1,1745.612565,836.489342,1,565.7,0,0,4,0,30.12,10000,0,0,KL1093,KLM,B739,200.9997586,3.9
0,1860.914586,949.0490379,1,347.52,0,0,0,0,30.12,10000,0,0,FR7542,RYR,B738,368.2030326,9.9
1,1677.238963,1133.74252,1,530.73,0,0,0,0,30.12,10000,0,0,FR556,RYR,B738,258.8254818,4.966666667
1,1221.167427,617.3965138,1,405.36,0,0,2,0,30.12,10000,0,0,EI210,EIN,A320,315.9830858,2.25
1,1674.761685,0,1,453.13,0,0,0,0,30.15,8000,0,0,PK701,PIA,B77W,327.6210266,4.633333333
1,1736.728399,0,1,673.23,0,0,2,1,30.12,10000,0,0,LH946,DLH,A320,228.4596996,2.866666667
0,1746.988027,631.4940384,1,292.69,1,0,0,0,30.15,10000,0,0,SN2178,BEL,A319,343.5645938,7.8
0,1817.443489,0,1,505.21,0,0,0,0,30.12,10000,0,0,BA1403,BAW,A320,400.4817989,11.51666667
1,1917.225734,1121.783935,1,657.78,0,0,5,0,30.12,10000,0,0,FR3247,RYR,B738,204.8871051,4.916666667
0,1699.682899,583.7546206,1,293.31,0,0,0,0,30.15,10000,0,0,U21801,EZY,A320,383.5756284,11.91666667
0,1984.149887,866.2491974,1,471.72,0,0,0,0,30.15,10000,0,0,FR3554,RYR,B738,313.2496132,8.75
0,1804.279706,0,1,577.16,2,0,0,0,30.15,10000,0,0,FR1557,RYR,B738,316.733188,8.016666667
0,722.9540861,558.4022863,1,188.27,2,0,0,0,30.15,10000,0,0,LH2503,DLH,A320,275.0274367,4.433333333
0,2394.907,1078.779413,1,480.93,1,0,0,0,30.15,10000,0,0,LH947,DLH,A320,317.1284949,12.48333333
1,1910.349995,1254.754959,1,600.85,0,0,2,0,30.12,10000,0,0,FR4051,RYR,B738,203.3873072,4.716666667
0,1944.934078,866.2491974,1,604.02,0,1,0,0,30.12,10000,0,0,IB3693,IBS,A320,215.1416361,9.066666667
1,919.7739705,0,1,467.06,0,0,0,1,30.12,10000,0,0,U21834,EZY,A320,364.9218025,1.45
1,1221.167427,617.3965138,1,405.36,0,0,1,0,30.12,10000,0,0,U21986,EZY,A319,331.262772,2.316666667
1,1209.332757,527.2184635,1,317.32,0,0,0,0,30.12,10000,0,0,U21846,EZY,A319,301.2374469,1.883333333
0,1949.339075,866.2491974,1,471.18,0,0,0,0,30.12,10000,0,0,FR4052,RYR,B738,229.6853854,8.8
0,1819.558729,681.1892299,1,431.93,1,0,0,0,30.12,10000,0,0,U21835,EZY,A320,237.5738926,13.15
0,1878.551757,530.8891433,1,607.21,2,0,0,0,30.12,10000,0,0,BA1405,BAW,A320,229.0135587,14.73333333
1,1775.905297,1091.696219,1,486.23,0,0,0,1,30.12,10000,0,0,FR3219,RYR,B738,346.1498164,4
0,1726.466784,817.7459019,1,403.51,2,0,0,0,30.12,10000,0,0,U2137,EZY,A319,219.0879113,6.45
1,1701.182328,655.0851383,1,386.24,0,0,0,0,30.12,10000,0,0,TOM2203,TOM,B752,155.6021532,4.016666667
0,1899.756794,1078.779413,1,378.06,3,0,0,0,30.12,10000,0,0,LX381,SWR,A320,226.6700024,13.98333333
0,2140.206686,1164.591164,1,587.88,4,0,0,0,30.12,10000,0,0,VY1397,VLG,A320,217.7492598,14.53333333
0,2792.905906,771.1784035,1,836.28,4,0,0,0,30.12,10000,0,0,BY9013,TOM,B738,216.1682176,14.9
1,1447.33575,0,1,386.24,0,0,0,2,30.12,10000,0,0,BA1402,BAW,A321,205.0001902,5.583333333
0,2060.367691,1078.779413,1,331.07,0,0,0,0,30.12,10000,0,0,PK702,PIA,B77W,204.0734609,9.65
0,1605.752195,1071.081342,1,224.32,1,0,0,0,30.12,10000,0,0,U21895,EZY,A320,191.2870705,9.533333333
0,1860.914586,949.0490379,1,347.52,0,1,0,0,30.12,10000,0,0,FR3222,RYR,B738,172.1931154,8.8
1,2122.205315,655.0851383,1,555.78,0,0,0,1,30.15,10000,0,0,EW1346,EWG,A320,234.2955269,6.216666667
0,2450.345219,1417.437268,1,751.45,0,0,0,0,30.12,10000,0,0,EY22,ETD,B789,171.1882917,20.48333333
0,2816.034816,1417.437268,1,711.82,1,0,0,0,30.12,10000,0,0,FX5203,FDX,B752,263.169907,12.88333333
1,1876.912742,836.489342,1,600.44,0,0,0,0,30.12,10000,0,0,FR8357,RYR,B738,355.2111105,4.316666667
0,1965.554417,1417.437268,1,494.33,1,0,0,0,30.12,10000,0,0,EI213,EIN,A320,169.3139724,13.2
0,2259.559016,1417.437268,1,648.07,2,0,0,0,30.12,10000,0,0,4U7345,GWI,A319,171.4541849,11.25
0,2871.368206,1417.437268,1,920.99,0,0,0,0,30.12,10000,0,0,EW1347,EWG,A320,164.772227,15.93333333
0,2788.534509,1417.437268,1,873.7,1,0,0,0,30.12,10000,0,0,SK2550,SAS,B738,169.2075014,14.63333333
0,3218.455168,2463.134251,1,765.85,0,2,0,0,30.12,10000,0,0,null,CFG,A320,196.8310355,14.86666667
0,884.0431004,623.3581564,1,499.97,1,2,0,0,30.12,10000,0,0,FR8358,RYR,B738,201.6362826,8.383333333
0,1796.419655,1417.437268,1,450.1,2,1,0,0,30.12,10000,0,0,EK20,UAE,A388,228.3360598,18.58333333
0,2422.047245,1417.437268,1,709.71,1,0,0,0,30.12,10000,0,0,QR24,QTR,B788,263.9556948,12.55
1,1389.895974,756.7631639,1,315.71,0,0,2,0,30.12,10000,0,0,MT1825,TCX,A321,242.6968412,3.933333333
1,1543.360142,752.8865225,1,363.61,0,0,2,1,30.12,10000,0,0,KL1097,KLM,B739,200.7451277,3.166666667
1,1456.674369,633.9280978,1,300.22,0,0,0,1,30.12,10000,0,0,U21836,EZY,A320,182.7971935,4.116666667
0,1009.294221,756.3860818,1,533.89,0,1,0,0,30.12,10000,0,0,FR559,RYR,B738,321.9506251,10.55
1,651.8748321,0,1,363.79,0,0,1,0,30.12,10000,0,0,FR3446,RYR,B738,182.2081937,5.7
1,1319.342721,756.7631639,1,308.01,0,0,0,0,30.12,10000,0,0,FR2090,RYR,B737,301.6861643,2.733333333
1,1809.094281,836.489342,1,631.35,0,0,0,0,30.12,10000,0,0,FR3223,RYR,B738,267.0067351,3.366666667
1,1778.265138,789.7819588,1,728,0,0,1,0,30.12,10000,0,0,FR3186,RYR,B738,173.5373531,6.35
